id,y
0,0
1,1
2,2
3,0
4,1
5,2
6,0
7,1
8,2
9,0
10,1
11,2
12,0
13,1
14,2
15,0
16,1
17,2
18,0
19,1
20,2
21,0
22,1
23,2
24,0
25,1
26,2
27,0
28,1
29,2
30,0
31,1
32,2
33,0
34,1
35,2
36,0
37,1
38,2
39,0
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,0
49,1
50,2
51,0
52,1
53,2
54,0
55,1
56,2
57,0
58,1
59,2
60,0
61,1
62,2
63,0
64,1
65,2
66,0
67,1
68,2
69,0
70,1
71,2
72,0
73,1
74,2
75,0
76,1
77,2
78,0
79,1
80,2
81,0
82,1
83,2
84,0
85,1
86,2
87,0
88,1
89,2
90,0
91,1
92,2
93,0
94,1
95,2
96,0
97,1
98,2
99,0
100,1
101,2
102,0
103,1
104,2
105,0
106,1
107,2
108,0
109,1
110,2
111,0
112,1
113,2
114,0
115,1
116,2
117,0
118,1
119,2
120,0
121,1
122,2
123,0
124,1
125,2
126,0
127,1
128,2
129,0
130,1
131,2
132,0
133,1
134,2
135,0
136,1
137,2
138,0
139,1
140,2
141,0
142,1
143,2
144,0
145,1
146,2
147,0
148,1
149,2
150,0
151,1
152,2
153,0
154,1
155,2
156,0
157,1
158,2
159,0
160,1
161,2
162,0
163,1
164,2
165,0
166,1
167,2
168,0
169,1
170,2
171,0
172,1
173,2
174,0
175,1
176,2
177,0
178,1
179,2
180,0
181,1
182,2
183,0
184,1
185,2
186,0
187,1
188,2
189,0
190,1
191,2
192,0
193,1
194,2
195,0
196,1
197,2
198,0
199,1
200,2
201,0
202,1
203,2
204,0
205,1
206,2
207,0
208,1
209,2
210,0
211,1
212,2
213,0
214,1
215,2
216,0
217,1
218,2
219,0
220,1
221,2
222,0
223,1
224,2
225,0
226,1
227,2
228,0
229,1
230,2
231,0
232,1
233,2
234,0
235,1
236,2
237,0
238,1
239,2
240,0
241,1
242,2
243,0
244,1
245,2
246,0
247,1
248,2
249,0
250,1
251,2
252,0
253,1
254,2
255,0
256,1
257,2
258,0
259,1
260,2
261,0
262,1
263,2
264,0
265,1
266,2
267,0
268,1
269,2
270,0
271,1
272,2
273,0
274,1
275,2
276,0
277,1
278,2
279,0
280,1
281,2
282,0
283,1
284,2
285,0
286,1
287,2
288,0
289,1
290,2
291,0
292,1
293,2
294,0
295,1
296,2
297,0
298,1
299,2
300,0
301,1
302,2
303,0
304,1
305,2
306,0
307,1
308,2
309,0
310,1
311,2
312,0
313,1
314,2
315,0
316,1
317,2
318,0
319,1
320,2
321,0
322,1
323,2
324,0
325,1
326,2
327,0
328,1
329,2
330,0
331,1
332,2
333,0
334,1
335,2
336,0
337,1
338,2
339,0
340,1
341,2
342,0
343,1
344,2
345,0
346,1
347,2
348,0
349,1
350,2
351,0
352,1
353,2
354,0
355,1
356,2
357,0
358,1
359,2
360,0
361,1
362,2
363,0
364,1
365,2
366,0
367,1
368,2
369,0
370,1
371,2
372,0
373,1
374,2
375,0
376,1
377,2
378,0
379,1
380,2
381,0
382,1
383,2
384,0
385,1
386,2
387,0
388,1
389,2
390,0
391,1
392,2
393,0
394,1
395,2
396,0
397,1
398,2
399,0
400,1
401,2
402,0
403,1
404,2
405,0
406,1
407,2
408,0
409,1
410,2
411,0
412,1
413,2
414,0
415,1
416,2
417,0
418,1
419,2
420,0
421,1
422,2
423,0
424,1
425,2
426,0
427,1
428,2
429,0
430,1
431,2
432,0
433,1
434,2
435,0
436,1
437,2
438,0
439,1
440,2
441,0
442,1
443,2
444,0
445,1
446,2
447,0
448,1
449,2
450,0
451,1
452,2
453,0
454,1
455,2
456,0
457,1
458,2
459,0
460,1
461,2
462,0
463,1
464,2
465,0
466,1
467,2
468,0
469,1
470,2
471,0
472,1
473,2
474,0
475,1
476,2
477,0
478,1
479,2
480,0
481,1
482,2
483,0
484,1
485,2
486,0
487,1
488,2
489,0
490,1
491,2
492,0
493,1
494,2
495,0
496,1
497,2
498,0
499,1
500,2
501,0
502,1
503,2
504,0
505,1
506,2
507,0
508,1
509,2
510,0
511,1
512,2
513,0
514,1
515,2
516,0
517,1
518,2
519,0
520,1
521,2
522,0
523,1
524,2
525,0
526,1
527,2
528,0
529,1
530,2
531,0
532,1
533,2
534,0
535,1
536,2
537,0
538,1
539,2
540,0
541,1
542,2
543,0
544,1
545,2
546,0
547,1
548,2
549,0
550,1
551,2
552,0
553,1
554,2
555,0
556,1
557,2
558,0
559,1
560,2
561,0
562,1
563,2
564,0
565,1
566,2
567,0
568,1
569,2
570,0
571,1
572,2
573,0
574,1
575,2
576,0
577,1
578,2
579,0
580,1
581,2
582,0
583,1
584,2
585,0
586,1
587,2
588,0
589,1
590,2
591,0
592,1
593,2
594,0
595,1
596,2
597,0
598,1
599,2
600,0
601,1
602,2
603,0
604,1
605,2
606,0
607,1
608,2
609,0
610,1
611,2
612,0
613,1
614,2
615,0
616,1
617,2
618,0
619,1
620,2
621,0
622,1
623,2
624,0
625,1
626,2
627,0
628,1
629,2
630,0
631,1
632,2
633,0
634,1
635,2
636,0
637,1
638,2
639,0
640,1
641,2
642,0
643,1
644,2
645,0
646,1
647,2
648,0
649,1
650,2
651,0
652,1
653,2
654,0
655,1
656,2
657,0
658,1
659,2
660,0
661,1
662,2
663,0
664,1
665,2
666,0
667,1
668,2
669,0
670,1
671,2
672,0
673,1
674,2
675,0
676,1
677,2
678,0
679,1
680,2
681,0
682,1
683,2
684,0
685,1
686,2
687,0
688,1
689,2
690,0
691,1
692,2
693,0
694,1
695,2
696,0
697,1
698,2
699,0
700,1
701,2
702,0
703,1
704,2
705,0
706,1
707,2
708,0
709,1
710,2
711,0
712,1
713,2
714,0
715,1
716,2
717,0
718,1
719,2
720,0
721,1
722,2
723,0
724,1
725,2
726,0
727,1
728,2
729,0
730,1
731,2
732,0
733,1
734,2
735,0
736,1
737,2
738,0
739,1
740,2
741,0
742,1
743,2
744,0
745,1
746,2
747,0
748,1
749,2
750,0
751,1
752,2
753,0
754,1
755,2
756,0
757,1
758,2
759,0
760,1
761,2
762,0
763,1
764,2
765,0
766,1
767,2
768,0
769,1
770,2
771,0
772,1
773,2
774,0
775,1
776,2
777,0
778,1
779,2
780,0
781,1
782,2
783,0
784,1
785,2
786,0
787,1
788,2
789,0
790,1
791,2
792,0
793,1
794,2
795,0
796,1
797,2
798,0
799,1
800,2
801,0
802,1
803,2
804,0
805,1
806,2
807,0
808,1
809,2
810,0
811,1
812,2
813,0
814,1
815,2
816,0
817,1
818,2
819,0
820,1
821,2
822,0
823,1
824,2
825,0
826,1
827,2
828,0
829,1
830,2
831,0
832,1
833,2
834,0
835,1
836,2
837,0
838,1
839,2
840,0
841,1
842,2
843,0
844,1
845,2
846,0
847,1
848,2
849,0
850,1
851,2
852,0
853,1
854,2
855,0
856,1
857,2
858,0
859,1
860,2
861,0
862,1
863,2
864,0
865,1
866,2
867,0
868,1
869,2
870,0
871,1
872,2
873,0
874,1
875,2
876,0
877,1
878,2
879,0
880,1
881,2
882,0
883,1
884,2
885,0
886,1
887,2
888,0
889,1
890,2
891,0
892,1
893,2
894,0
895,1
896,2
897,0
898,1
899,2
900,0
901,1
902,2
903,0
904,1
905,2
906,0
907,1
908,2
909,0
910,1
911,2
912,0
913,1
914,2
915,0
916,1
917,2
918,0
919,1
920,2
921,0
922,1
923,2
924,0
925,1
926,2
927,0
928,1
929,2
930,0
931,1
932,2
933,0
934,1
935,2
936,0
937,1
938,2
939,0
940,1
941,2
942,0
943,1
944,2
945,0
946,1
947,2
948,0
949,1
950,2
951,0
952,1
953,2
954,0
955,1
956,2
957,0
958,1
959,2
960,0
961,1
962,2
963,0
964,1
965,2
966,0
967,1
968,2
969,0
970,1
971,2
972,0
973,1
974,2
975,0
976,1
977,2
978,0
979,1
980,2
981,0
982,1
983,2
984,0
985,1
986,2
987,0
988,1
989,2
990,0
991,1
992,2
993,0
994,1
995,2
996,0
997,1
998,2
999,0
1000,1
1001,2
1002,0
1003,1
1004,2
1005,0
1006,1
1007,2
1008,0
1009,1
1010,2
1011,0
1012,1
1013,2
1014,0
1015,1
1016,2
1017,0
1018,1
1019,2
1020,0
1021,1
1022,2
1023,0
1024,1
1025,2
1026,0
1027,1
1028,2
1029,0
1030,1
1031,2
1032,0
1033,1
1034,2
1035,0
1036,1
1037,2
1038,0
1039,1
1040,2
1041,0
1042,1
1043,2
1044,0
1045,1
1046,2
1047,0
1048,1
1049,2
1050,0
1051,1
1052,2
1053,0
1054,1
1055,2
1056,0
1057,1
1058,2
1059,0
1060,1
