CaseId,Evaluation
200001,1
200002,1
200003,1
200004,1
200005,1
200006,1
200007,0
200008,1
200009,1
200010,1
200011,0
200012,1
200013,1
200014,1
200015,1
200016,0
200017,1
200018,1
200019,1
200020,1
200021,0
200022,1
200023,1
200024,1
200025,1
200026,1
200027,1
200028,1
200029,0
200030,1
200031,1
200032,0
200033,1
200034,1
200035,0
200036,0
200037,0
200038,1
200039,0
200040,0
200041,0
200042,1
200043,1
200044,1
200045,1
200046,1
200047,1
200048,1
200049,1
200050,1
200051,1
200052,1
200053,1
200054,1
200055,1
200056,1
200057,1
200058,1
200059,1
200060,0
200061,1
200062,0
200063,1
200064,0
200065,1
200066,1
200067,1
200068,1
200069,1
200070,1
200071,1
200072,1
200073,1
200074,0
200075,1
200076,1
200077,1
200078,0
200079,1
200080,1
200081,1
200082,1
200083,1
200084,0
200085,0
200086,1
200087,1
200088,1
200089,1
200090,1
200091,1
200092,0
200093,1
200094,1
200095,0
200096,0
200097,0
200098,1
200099,0
200100,1
200101,1
200102,0
200103,1
200104,1
200105,0
200106,1
200107,0
200108,0
200109,1
200110,1
200111,0
200112,0
200113,0
200114,1
200115,1
200116,1
200117,1
200118,1
200119,0
200120,1
200121,1
200122,1
200123,0
200124,0
200125,1
200126,0
200127,1
200128,1
200129,1
200130,1
200131,1
200132,1
200133,0
200134,1
200135,1
200136,1
200137,1
200138,1
200139,1
200140,1
200141,1
200142,1
200143,1
200144,1
200145,1
200146,1
200147,0
200148,1
200149,1
200150,1
200151,0
200152,1
200153,1
200154,1
200155,1
200156,1
200157,1
200158,1
200159,1
200160,1
200161,1
200162,1
200163,1
200164,1
200165,1
200166,1
200167,1
200168,1
200169,1
200170,1
200171,0
200172,1
200173,1
200174,1
200175,1
200176,0
200177,0
200178,1
200179,1
200180,0
200181,1
200182,1
200183,1
200184,1
200185,1
200186,1
200187,1
200188,1
200189,1
200190,1
200191,1
200192,0
200193,1
200194,1
200195,1
200196,1
200197,1
200198,1
200199,0
200200,0
200201,1
200202,1
200203,1
200204,1
200205,1
200206,1
200207,1
200208,0
200209,1
200210,0
200211,1
200212,1
200213,1
200214,1
200215,1
200216,1
200217,1
200218,1
200219,1
200220,1
200221,1
200222,1
200223,0
200224,1
200225,1
200226,1
200227,1
200228,1
200229,0
200230,0
200231,1
200232,0
200233,1
200234,1
200235,1
200236,1
200237,1
200238,1
200239,1
200240,1
200241,1
200242,1
200243,1
200244,0
200245,1
200246,1
200247,1
200248,1
200249,1
200250,1
200251,1
200252,1
200253,1
200254,1
200255,1
200256,1
200257,1
200258,1
200259,1
200260,0
200261,1
200262,1
200263,0
200264,1
200265,1
200266,1
200267,1
200268,1
200269,1
200270,0
200271,1
200272,0
200273,1
200274,1
200275,1
200276,0
200277,1
200278,1
200279,0
200280,1
200281,1
200282,1
200283,1
200284,0
200285,0
200286,0
200287,1
200288,1
200289,1
200290,1
200291,1
200292,0
200293,1
200294,0
200295,0
200296,0
200297,0
200298,1
200299,1
200300,1
200301,0
200302,0
200303,0
200304,1
200305,1
200306,1
200307,1
200308,1
200309,1
200310,1
200311,1
200312,1
200313,1
200314,1
200315,1
200316,1
200317,0
200318,1
200319,1
200320,1
200321,1
200322,1
200323,1
200324,1
200325,0
200326,0
200327,1
200328,0
200329,1
200330,1
200331,1
200332,1
200333,1
200334,0
200335,1
200336,1
200337,1
200338,1
200339,0
200340,1
200341,1
200342,1
200343,1
200344,1
200345,1
200346,1
200347,0
200348,1
200349,1
200350,0
200351,1
200352,0
200353,1
200354,1
200355,0
200356,1
200357,1
200358,1
200359,0
200360,1
200361,0
200362,1
200363,1
200364,1
200365,1
200366,0
200367,1
200368,0
200369,0
200370,1
200371,1
200372,1
200373,1
200374,0
200375,1
200376,1
200377,0
200378,1
200379,1
200380,1
200381,0
200382,1
200383,1
200384,1
200385,1
200386,0
200387,1
200388,0
200389,1
200390,1
200391,1
200392,0
200393,1
200394,1
200395,1
200396,0
200397,1
200398,1
200399,1
200400,1
200401,1
200402,1
200403,1
200404,1
200405,1
200406,0
200407,1
200408,1
200409,1
200410,1
200411,0
200412,1
200413,0
200414,0
200415,0
200416,1
200417,1
200418,1
200419,1
200420,1
200421,1
200422,1
200423,1
200424,1
200425,1
200426,0
200427,0
200428,1
200429,1
200430,1
200431,1
200432,0
200433,1
200434,1
200435,1
200436,1
200437,0
200438,1
200439,1
200440,1
200441,0
200442,0
200443,1
200444,0
200445,1
200446,1
200447,1
200448,1
200449,1
200450,1
200451,1
200452,1
200453,1
200454,1
200455,1
200456,0
200457,1
200458,1
200459,0
200460,1
200461,1
200462,1
200463,1
200464,0
200465,0
200466,1
200467,1
200468,1
200469,1
200470,1
200471,1
200472,0
200473,1
200474,1
200475,1
200476,1
200477,0
200478,1
200479,0
200480,1
200481,1
200482,1
200483,1
200484,1
200485,0
200486,0
200487,1
200488,0
200489,1
200490,0
200491,0
200492,1
200493,1
200494,1
200495,1
200496,1
200497,1
200498,1
200499,1
200500,1
200501,1
200502,1
200503,1
200504,1
200505,1
200506,0
200507,1
200508,1
200509,0
200510,1
200511,1
200512,1
200513,0
200514,1
200515,1
200516,1
200517,1
200518,0
200519,1
200520,1
200521,1
200522,1
200523,1
200524,1
200525,0
200526,1
200527,0
200528,0
200529,1
200530,1
200531,1
200532,1
200533,1
200534,1
200535,1
200536,1
200537,1
200538,1
200539,1
200540,0
200541,1
200542,1
200543,1
200544,1
200545,1
200546,1
200547,1
200548,1
200549,1
200550,1
200551,1
200552,0
200553,0
200554,1
200555,1
200556,1
200557,1
200558,1
200559,0
200560,1
200561,1
200562,1
200563,1
200564,0
200565,1
200566,1
200567,0
200568,1
200569,1
200570,1
200571,1
200572,1
200573,1
200574,1
200575,1
200576,1
200577,1
200578,0
200579,0
200580,0
200581,1
200582,0
200583,1
200584,0
200585,0
200586,1
200587,0
200588,1
200589,0
200590,1
200591,1
200592,1
200593,1
200594,1
200595,1
200596,1
200597,1
200598,1
200599,1
200600,1
200601,1
200602,1
200603,1
200604,1
200605,1
200606,0
200607,0
200608,1
200609,1
200610,0
200611,1
200612,1
200613,1
200614,0
200615,0
200616,0
200617,1
200618,0
200619,1
200620,0
200621,1
200622,1
200623,1
200624,0
200625,1
200626,0
200627,1
200628,1
200629,1
200630,1
200631,0
200632,1
200633,1
200634,1
200635,1
200636,1
200637,1
200638,0
200639,1
200640,1
200641,1
200642,1
200643,0
200644,1
200645,1
200646,0
200647,1
200648,1
200649,0
200650,1
